STUDENTID,SEMESTER,ASSIGNMENT,SCORE
1,FALL,QUIZ 1,8
1,FALL,QUIZ 2,7
1,FALL,MIDTERM,25
1,FALL,QUIZ 3,6
1,FALL,EXTRA CREDIT,3
1,FALL,FINAL,40
1,SPRING,QUIZ 1,9
1,SPRING,QUIZ 2,9
1,SPRING,MIDTERM,26
1,SPRING,QUIZ 3,7
1,SPRING,FINAL,42
2,FALL,QUIZ 1,6
2,FALL,QUIZ 2,6
2,FALL,MIDTERM,22
2,FALL,QUIZ 3,7
2,FALL,EXTRA CREDIT,3
2,FALL,FINAL,39
2,SPRING,QUIZ 1,8
2,SPRING,QUIZ 2,6
2,SPRING,MIDTERM,22
2,SPRING,QUIZ 3,7
2,SPRING,FINAL,42
3,FALL,QUIZ 1,8
3,FALL,QUIZ 2,9
3,FALL,MIDTERM,27
3,FALL,QUIZ 3,7
3,FALL,EXTRA CREDIT,3
3,FALL,FINAL,42
3,SPRING,QUIZ 1,9
3,SPRING,QUIZ 2,10
3,SPRING,MIDTERM,27
3,SPRING,QUIZ 3,6
3,SPRING,FINAL,38
4,FALL,QUIZ 1,8
4,FALL,QUIZ 2,8
4,FALL,MIDTERM,26
4,FALL,QUIZ 3,7
4,FALL,FINAL,44
4,SPRING,QUIZ 1,10
4,SPRING,QUIZ 2,10
4,SPRING,MIDTERM,25
4,SPRING,QUIZ 3,8
4,SPRING,FINAL,43
5,FALL,QUIZ 1,5
5,FALL,QUIZ 2,4
5,FALL,MIDTERM,18
5,FALL,QUIZ 3,6
5,FALL,FINAL,33
5,SPRING,QUIZ 1,5
5,SPRING,QUIZ 2,6
5,SPRING,MIDTERM,19
5,SPRING,QUIZ 3,3
5,SPRING,FINAL,34
